time,price,trade,amount
2016/3/24,3181.851,13313112200.00 ,162436036415.00 
2016/3/23,3236.092,12567928600.00 ,155567074583.00 
2016/3/22,3225.79,16102089700.00 ,194211982989.00 
2016/3/21,3249.437,23326946400.00 ,256836636273.00 
2016/3/18,3171.963,19730256400.00 ,210017810346.00 
2016/3/17,3124.204,12166177700.00 ,136603715775.00 
2016/3/16,3090.033,12473644800.00 ,126128854001.00 
2016/3/15,3074.78,9831194100.00 ,101302845698.00 
2016/3/14,3065.69,11710865500.00 ,123539094703.00 
2016/3/11,3018.284,7333356400.00 ,74367296548.00 
2016/3/10,3013.146,7607219700.00 ,78180468559.00 
2016/3/9,3071.907,11146624500.00 ,106298652785.00 
2016/3/8,3107.673,13623574200.00 ,128758488144.00 
2016/3/7,3104.84,13246203700.00 ,127790344488.00 
2016/3/4,3093.89,21917253400.00 ,205520475543.00 
2016/3/3,3058.422,17310574400.00 ,165509087742.00 
2016/3/2,3051.333,17597234700.00 ,164025161471.00 
2016/3/1,2930.694,11604591800.00 ,110491037808.00 
2016/2/29,2877.467,12934102000.00 ,118440829598.00 
2016/2/26,2948.031,10694972900.00 ,102531571946.00 
2016/2/25,2918.75,15782975200.00 ,153493008194.00 
2016/2/24,3109.545,11178265000.00 ,112918607549.00 
2016/2/23,3089.363,11256739100.00 ,117476469063.00 
2016/2/22,3118.868,14094696800.00 ,141684080627.00 
2016/2/19,3051.585,8733801200.00 ,90849341804.00 
2016/2/18,3053.699,12440146400.00 ,122618612161.00 
2016/2/17,3063.32,12829160700.00 ,122279340234.00 
2016/2/16,3037.035,11257964300.00 ,112300492317.00 
2016/2/15,2946.707,7291943400.00 ,71285049141.00 
2016/2/5,2963.789,7685080800.00 ,77443222334.00 
2016/2/4,2984.76,9177972400.00 ,91550346872.00 
2016/2/3,2948.639,7738900000.00 ,74817092259.00 
2016/2/2,2961.334,8860196300.00 ,88740230428.00 
2016/2/1,2901.048,8679534200.00 ,82931453498.00 
